course_identifier,course_name,subject_code,subject_name,school_code,school_name,section,call_number,instructors,enrollment_count,enrollment_max,enrollment_status,days_times,mil_time_from,mil_time_to
SDEVW1900,INTRO TO SUSTAINABLE DEVPT SEM,SDEV,,SAS,,001,11087,Jason Smerdon,12,40,O,T 11:40AM-12:55PM,11:40,12:55
EECSE6690,TOPICS DATA-DRIVEN ANAL & COMP,EECS,,SEAS,,V01,17924,Predrag R Jelenkovic,1,99,O,,,
EECSE6690,TOPICS DATA-DRIVEN ANAL & COMP,EECS,,SEAS,,001,12486,Predrag R Jelenkovic,26,60,O,T 4:10PM-6:40PM,16:10,18:40
EECSE4764,Artificial Intelligence of Things (AIoT),EECS,,SEAS,,001,11260,Xiaofan Jiang,95,110,O,MW 2:40PM-3:55PM,14:40,15:55
EECSE4750,Heterogeneous Computing for Signal and Data Processing,EECS,,SEAS,,001,11262,Zoran Kostic,31,40,O,R 1:10PM-3:40PM,13:10,15:40
ELENE9800,DOCTORAL RESEARCH INSTRUCTION,ELEN,,SEAS,,004,18553,Christine P Hendon,,50,O,,,
ELENE9800,DOCTORAL RESEARCH INSTRUCTION,ELEN,,SEAS,,005,19787,Gil Zussman,,50,O,,,
ELENE9403,SEMINAR IN PHOTONICS,ELEN,,SEAS,,004,20172,Keren Bergman,7,15,O,R 10:00AM-12:00PM,10:00,12:00
EECSE4321,DIGITAL VLSI CIRCUITS,EECS,,SEAS,,001,11259,Kenneth Shepard,112,147,O,TR 1:10PM-2:25PM,13:10,14:25
ELENE9001,RESEARCH I,ELEN,,SEAS,,002,16401,Keren Bergman,3,50,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,003,16402,Shih-Fu Chang,,50,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,004,16403,Javad Ghaderi,,50,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,005,16404,Christine P Hendon,,50,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,006,16405,Predrag R Jelenkovic,,50,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,007,16406,Xiaofan Jiang,2,50,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,008,16394,Ethan Katz-Bassett,,50,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,009,16393,Dion Khodagholy Araghy,,50,O,,,
ELENE9001,RESEARCH I,ELEN,,SEAS,,010,16392,Peter Kinget,,50,O,,,
